Atm;ProcessDate;Withdrawal
ATM1;2017-05-10;65480
ATM1;2017-05-11;45460
ATM1;2017-05-12;45920
ATM1;2017-05-13;22400
ATM1;2017-05-15;33900
ATM1;2017-05-16;34670
ATM1;2017-05-17;32910
ATM1;2017-05-18;50380
ATM1;2017-05-19;48280
ATM1;2017-05-20;14460
ATM1;2017-05-22;47320
ATM1;2017-05-23;41130
ATM1;2017-05-24;37460
ATM1;2017-05-25;42160
ATM1;2017-05-26;48950
ATM1;2017-05-27;15570
ATM1;2017-05-29;38770
ATM1;2017-05-30;38100
ATM1;2017-05-31;43200
ATM1;2017-06-01;47860
ATM1;2017-06-02;44790
ATM1;2017-06-03;18840
ATM1;2017-06-05;44380
ATM1;2017-06-06;35420
ATM1;2017-06-07;40680
ATM1;2017-06-08;48170
ATM1;2017-06-09;59020
ATM1;2017-06-10;12540
ATM1;2017-06-12;49570
ATM1;2017-06-13;47450
ATM1;2017-06-14;40030
ATM1;2017-06-16;39420
ATM1;2017-06-17;6170
ATM1;2017-06-19;53710
ATM1;2017-06-20;29940
ATM1;2017-06-21;26530
ATM1;2017-06-22;34150
ATM1;2017-06-23;49060
ATM1;2017-06-24;9290
ATM1;2017-06-26;39800
ATM1;2017-06-27;30830
ATM1;2017-06-28;44700
ATM1;2017-06-29;52670
ATM1;2017-06-30;57890
ATM1;2017-07-01;9790
ATM1;2017-07-02;20
ATM1;2017-07-03;44890
ATM1;2017-07-04;40680
ATM1;2017-07-05;38690
ATM1;2017-07-06;33470
ATM1;2017-07-07;39160
ATM1;2017-07-08;17310
ATM1;2017-07-10;52580
ATM1;2017-07-11;40060
ATM1;2017-07-12;66130
ATM1;2017-07-13;33140
ATM1;2017-07-14;61600
ATM1;2017-07-15;9480
ATM1;2017-07-16;50
ATM1;2017-07-17;45590
ATM1;2017-07-18;44380
ATM1;2017-07-19;38300
ATM1;2017-07-20;39950
ATM1;2017-07-21;39360
ATM1;2017-07-22;10620
ATM1;2017-07-23;600
ATM1;2017-07-24;41490
ATM1;2017-07-25;40420
ATM1;2017-07-26;42690
ATM1;2017-07-27;45480
ATM1;2017-07-28;42170
ATM1;2017-07-29;16020
ATM1;2017-07-31;41050
ATM1;2017-08-01;34010
ATM1;2017-08-02;30110
ATM1;2017-08-03;40830
ATM1;2017-08-04;30260
ATM1;2017-08-05;5780
ATM1;2017-08-07;44880
ATM1;2017-08-08;33820
ATM1;2017-08-09;35990
ATM1;2017-08-10;39380
ATM1;2017-08-11;48870
ATM1;2017-08-12;14180
ATM1;2017-08-13;20
ATM1;2017-08-14;37450
ATM1;2017-08-16;49750
ATM1;2017-08-17;39450
ATM1;2017-08-18;37750
ATM1;2017-08-19;8010
ATM1;2017-08-21;49160
ATM1;2017-08-22;32720
ATM1;2017-08-23;21720
ATM1;2017-08-24;36300
ATM1;2017-08-25;10050
ATM1;2017-08-26;15900
ATM1;2017-08-28;46100
ATM1;2017-08-29;31500
ATM1;2017-08-30;45850
ATM1;2017-08-31;35900
ATM1;2017-09-01;39540
ATM1;2017-09-02;14020
ATM1;2017-09-04;32080
ATM1;2017-09-05;34890
ATM1;2017-09-06;38450
ATM1;2017-09-07;43690
ATM1;2017-09-08;46690
ATM1;2017-09-09;18660
ATM1;2017-09-10;20
ATM1;2017-09-11;44740
ATM1;2017-09-12;31180
ATM1;2017-09-13;35310
ATM1;2017-09-14;30830
ATM1;2017-09-15;50820
ATM1;2017-09-16;17180
ATM1;2017-09-18;45340
ATM1;2017-09-19;40530
ATM1;2017-09-20;45400
ATM1;2017-09-21;34460
ATM1;2017-09-22;33780
ATM1;2017-09-23;10670
ATM1;2017-09-25;36620
ATM1;2017-09-26;46770
ATM1;2017-09-27;41060
ATM1;2017-09-28;45740
ATM1;2017-09-29;54320
ATM1;2017-09-30;11970
ATM1;2017-10-02;40750
ATM1;2017-10-03;37600
ATM1;2017-10-04;34600
ATM1;2017-10-05;52020
ATM1;2017-10-06;40130
ATM1;2017-10-07;18130
ATM1;2017-10-08;100
ATM1;2017-10-09;33520
ATM1;2017-10-10;57090
ATM1;2017-10-11;51570
ATM1;2017-10-12;44020
ATM1;2017-10-13;45560
ATM1;2017-10-14;19190
ATM1;2017-10-15;80
ATM1;2017-10-16;53400
ATM1;2017-10-17;41010
ATM1;2017-10-18;32730
ATM1;2017-10-19;31100
ATM1;2017-10-20;37730
ATM1;2017-10-21;11930
ATM1;2017-10-23;37910
ATM1;2017-10-24;48960
ATM1;2017-10-25;44770
ATM1;2017-10-26;44910
ATM1;2017-10-27;44270
ATM1;2017-10-28;13320
ATM1;2017-10-29;100
ATM1;2017-10-30;47610
ATM1;2017-10-31;35050
ATM1;2017-11-02;46300
ATM1;2017-11-03;39550
ATM1;2017-11-04;15540
ATM1;2017-11-06;39210
ATM1;2017-11-07;39040
ATM1;2017-11-08;43430
ATM1;2017-11-09;51520
ATM1;2017-11-10;69000
ATM1;2017-11-12;480
ATM1;2017-11-13;42490
ATM1;2017-11-14;37240
ATM1;2017-11-15;36800
ATM1;2017-11-16;34770
ATM1;2017-11-17;50830
ATM1;2017-11-18;13920
ATM1;2017-11-20;44320
ATM1;2017-11-21;37520
ATM1;2017-11-22;41600
ATM1;2017-11-23;44460
ATM1;2017-11-24;37420
ATM1;2017-11-25;12620
ATM1;2017-11-27;45280
ATM1;2017-11-28;42440
ATM1;2017-11-29;33210
ATM1;2017-11-30;36970
ATM1;2017-12-01;38710
ATM1;2017-12-02;22750
ATM1;2017-12-03;1000
ATM1;2017-12-04;50110
ATM1;2017-12-05;34530
ATM1;2017-12-06;45410
ATM1;2017-12-07;46530
ATM1;2017-12-08;43510
ATM1;2017-12-09;19130
ATM1;2017-12-11;61380
ATM1;2017-12-12;51780
ATM1;2017-12-13;43350
ATM1;2017-12-14;38930
ATM1;2017-12-15;43330
ATM1;2017-12-16;14530
ATM1;2017-12-18;42230
ATM1;2017-12-19;52610
ATM1;2017-12-20;43520
ATM1;2017-12-21;37750
ATM1;2017-12-22;43900
ATM1;2017-12-23;15180
ATM1;2017-12-24;200
ATM1;2017-12-27;30580
ATM1;2017-12-28;44080
ATM1;2017-12-29;49890
ATM1;2017-12-30;13350
ATM1;2018-01-02;37550
ATM1;2018-01-03;34850
ATM1;2018-01-04;36790
ATM1;2018-01-05;39360
ATM1;2018-01-08;42130
ATM1;2018-01-09;36140
ATM1;2018-01-10;54940
ATM1;2018-01-11;48160
ATM1;2018-01-12;57690
ATM1;2018-01-13;14190
ATM1;2018-01-15;41710
ATM1;2018-01-16;37760
ATM1;2018-01-17;28650
ATM1;2018-01-18;37820
ATM1;2018-01-19;38640
ATM1;2018-01-20;11240
ATM1;2018-01-22;42750
ATM1;2018-01-23;34260
ATM1;2018-01-24;31470
ATM1;2018-01-25;33880
ATM1;2018-01-26;50630
ATM1;2018-01-27;18010
ATM1;2018-01-29;44340
ATM1;2018-01-30;40520
ATM1;2018-01-31;35450
ATM1;2018-02-01;47070
ATM1;2018-02-02;44050
ATM1;2018-02-03;9270
ATM1;2018-02-05;35000
ATM1;2018-02-06;35560
ATM1;2018-02-07;33840
ATM1;2018-02-08;40680
ATM1;2018-02-09;56660
ATM1;2018-02-10;11210
ATM1;2018-02-12;46480
ATM1;2018-02-13;38360
ATM1;2018-02-14;45880
ATM1;2018-02-15;61070
ATM1;2018-02-16;49690
ATM1;2018-02-17;9040
ATM1;2018-02-18;50
ATM1;2018-02-19;41110
ATM1;2018-02-20;37900
ATM1;2018-02-21;35080
ATM1;2018-02-22;30430
ATM1;2018-02-23;45540
ATM1;2018-02-24;8990
ATM1;2018-02-26;41620
ATM1;2018-02-27;49370
ATM1;2018-02-28;48370
ATM1;2018-03-01;43260
ATM1;2018-03-02;44410
ATM1;2018-03-03;19150
ATM1;2018-03-04;20
ATM1;2018-03-05;53300
ATM1;2018-03-06;51590
ATM1;2018-03-07;35120
ATM1;2018-03-08;33220
ATM1;2018-03-09;49370
ATM1;2018-03-10;15210
ATM1;2018-03-12;50420
ATM1;2018-03-13;56370
ATM1;2018-03-14;48470
ATM1;2018-03-15;46620
ATM1;2018-03-16;32500
ATM1;2018-03-17;11840
ATM1;2018-03-19;41050
ATM1;2018-03-20;37180
ATM1;2018-03-21;35960
ATM1;2018-03-22;44950
ATM1;2018-03-23;37620
ATM1;2018-03-24;9780
ATM1;2018-03-25;200
ATM1;2018-03-26;45400
ATM1;2018-03-27;57020
ATM1;2018-03-28;35460
ATM1;2018-03-29;39040
ATM1;2018-03-30;48620
ATM1;2018-03-31;3380
ATM1;2018-04-03;45740
ATM1;2018-04-04;42630
ATM1;2018-04-05;30340
ATM1;2018-04-06;43430
ATM1;2018-04-07;8010
ATM1;2018-04-09;51420
ATM1;2018-04-10;55670
ATM1;2018-04-11;46340
ATM1;2018-04-12;50490
ATM1;2018-04-13;51470
ATM1;2018-04-14;13430
ATM1;2018-04-16;53450
ATM1;2018-04-17;32120
ATM1;2018-04-18;39190
ATM1;2018-04-19;39920
ATM1;2018-04-20;44240
ATM1;2018-04-21;13540
ATM1;2018-04-23;35680
ATM1;2018-04-24;35400
ATM1;2018-04-25;39010
ATM1;2018-04-26;39190
ATM1;2018-04-27;58300
ATM1;2018-04-28;12220
ATM1;2018-04-30;38140
ATM1;2018-05-02;36960
ATM1;2018-05-04;43150
ATM1;2018-05-05;10910
ATM1;2018-05-07;54420
ATM1;2018-05-08;37080
ATM1;2018-05-09;42660
ATM1;2018-05-10;49900
ATM1;2018-05-11;65360
ATM1;2018-05-12;16860
ATM1;2018-05-14;60840
ATM1;2018-05-15;51420
ATM1;2018-05-16;31490
ATM1;2018-05-17;36030
ATM1;2018-05-18;46710
ATM1;2018-05-19;12240
ATM1;2018-05-21;35040
ATM1;2018-05-22;31730
ATM1;2018-05-23;44080
ATM1;2018-05-24;29130
ATM1;2018-05-25;42490
ATM1;2018-05-26;14580
ATM1;2018-05-28;49950
ATM1;2018-05-29;53190
ATM1;2018-05-30;48900
ATM1;2018-06-01;42550
ATM1;2018-06-02;17650
ATM1;2018-06-04;50420
ATM1;2018-06-05;38010
ATM1;2018-06-06;46690
ATM1;2018-06-07;30920
ATM1;2018-06-08;52150
ATM1;2018-06-09;17080
ATM1;2018-06-11;50110
ATM1;2018-06-12;34840
ATM1;2018-06-13;32880
ATM1;2018-06-14;46790
ATM1;2018-06-15;40380
ATM1;2018-06-16;18890
ATM1;2018-06-18;37820
ATM1;2018-06-19;39200
ATM1;2018-06-20;33510
ATM1;2018-06-21;37400
ATM1;2018-06-22;38000
ATM1;2018-06-23;16880
ATM1;2018-06-25;32170
ATM1;2018-06-26;29630
ATM1;2018-06-27;36830
ATM1;2018-06-28;31940
ATM1;2018-06-29;42420
ATM1;2018-06-30;9160
ATM1;2018-07-02;41000
ATM1;2018-07-03;39460
ATM1;2018-07-04;38260
ATM1;2018-07-05;22310
ATM1;2018-07-06;19580
ATM1;2018-07-07;1790
ATM1;2018-07-09;26010
ATM1;2018-07-10;41200
ATM1;2018-07-11;40900
ATM1;2018-07-12;40450
ATM1;2018-07-13;50990
ATM1;2018-07-14;18760
ATM1;2018-07-16;34340
ATM1;2018-07-17;29770
ATM1;2018-07-18;31670
ATM1;2018-07-19;28020
ATM1;2018-07-20;52200
ATM1;2018-07-21;10390
ATM1;2018-07-23;32210
ATM1;2018-07-24;37720
ATM1;2018-07-25;31440
ATM1;2018-07-26;33140
ATM1;2018-07-27;41470
ATM1;2018-07-28;13340
ATM1;2018-07-30;37490
ATM1;2018-07-31;45570
ATM1;2018-08-01;37140
ATM1;2018-08-02;30340
ATM1;2018-08-03;53610
ATM1;2018-08-04;18100
ATM1;2018-08-06;48350
ATM1;2018-08-07;38520
ATM1;2018-08-08;41000
ATM1;2018-08-09;40880
ATM1;2018-08-10;52790
ATM1;2018-08-11;19740
ATM1;2018-08-13;56070
ATM1;2018-08-14;44690
ATM1;2018-08-16;43980
ATM1;2018-08-17;37090
ATM1;2018-08-18;15820
ATM1;2018-08-20;42660
ATM1;2018-08-21;40740
ATM1;2018-08-22;27920
ATM1;2018-08-23;36130
ATM1;2018-08-24;26880
ATM1;2018-08-25;8890
ATM1;2018-08-27;41440
ATM1;2018-08-28;44060
ATM1;2018-08-29;32970
ATM1;2018-08-30;33330
ATM1;2018-08-31;49950
ATM1;2018-09-01;14150
ATM1;2018-09-03;51430
ATM1;2018-09-04;34080
ATM1;2018-09-05;32930
ATM1;2018-09-06;38410
ATM1;2018-09-07;41980
ATM1;2018-09-08;15470
ATM1;2018-09-09;500
ATM1;2018-09-10;51300
ATM1;2018-09-11;51930
ATM1;2018-09-12;44550
ATM1;2018-09-13;48050
ATM1;2018-09-14;39430
ATM1;2018-09-15;15740
ATM1;2018-09-17;42230
ATM1;2018-09-18;34730
ATM1;2018-09-19;33910
ATM1;2018-09-20;32860
ATM1;2018-09-21;50940
ATM1;2018-09-22;12690
ATM1;2018-09-24;57760
ATM1;2018-09-25;44330
ATM1;2018-09-26;36940
ATM1;2018-09-27;34120
ATM1;2018-09-28;57300
ATM1;2018-09-29;13480
ATM1;2018-09-30;100
ATM1;2018-10-01;47160
ATM1;2018-10-02;39890
ATM1;2018-10-03;55980
ATM1;2018-10-04;40050
ATM1;2018-10-05;47760
ATM1;2018-10-06;19030
ATM1;2018-10-08;47940
ATM1;2018-10-09;38300
ATM1;2018-10-10;64990
ATM1;2018-10-11;57080
ATM1;2018-10-12;45770
ATM1;2018-10-13;12570
ATM1;2018-10-15;52710
ATM1;2018-10-16;38870
ATM1;2018-10-17;34080
ATM1;2018-10-18;39020
ATM1;2018-10-19;37760
ATM1;2018-10-20;18510
ATM1;2018-10-22;36890
ATM1;2018-10-23;30600
ATM1;2018-10-24;46230
ATM1;2018-10-25;43760
ATM1;2018-10-26;45970
ATM1;2018-10-27;16840
ATM1;2018-10-29;37580
ATM1;2018-10-30;47000
ATM1;2018-10-31;48010
ATM1;2018-11-02;27300
ATM1;2018-11-03;16700
ATM1;2018-11-04;400
ATM1;2018-11-05;42450
ATM1;2018-11-06;42850
ATM1;2018-11-07;55260
ATM1;2018-11-08;39470
ATM1;2018-11-09;67820
ATM1;2018-11-10;15790
ATM1;2018-11-13;34640
ATM1;2018-11-14;25030
ATM1;2018-11-15;35870
ATM1;2018-11-16;43920
ATM1;2018-11-17;11430
ATM1;2018-11-19;37790
ATM1;2018-11-20;33190
ATM1;2018-11-21;26810
ATM1;2018-11-22;29880
ATM1;2018-11-23;48910
ATM1;2018-11-24;12650
ATM1;2018-11-25;200
ATM1;2018-11-26;34370
ATM1;2018-11-27;37230
ATM1;2018-11-28;34050
ATM1;2018-11-29;25210
ATM1;2018-11-30;42080
ATM1;2018-12-01;10740
ATM1;2018-12-03;45810
ATM1;2018-12-04;38910
ATM1;2018-12-05;53050
ATM1;2018-12-06;39450
ATM1;2018-12-07;41660
ATM1;2018-12-08;14120
ATM1;2018-12-10;40070
ATM1;2018-12-11;39360
ATM1;2018-12-12;38780
ATM1;2018-12-13;39800
ATM1;2018-12-14;51090
ATM1;2018-12-15;17570
ATM1;2018-12-17;39550
ATM1;2018-12-18;24300
ATM1;2018-12-19;23760
ATM1;2018-12-20;41680
ATM1;2018-12-21;51880
ATM1;2018-12-22;11740
ATM1;2018-12-24;4570
ATM1;2018-12-27;31540
ATM1;2018-12-28;31810
ATM1;2018-12-29;10690
ATM1;2018-12-31;27190
ATM1;2019-01-02;30420
ATM1;2019-01-03;40920
ATM1;2019-01-04;35520
ATM1;2019-01-05;8690
ATM1;2019-01-07;45360
ATM1;2019-01-08;28540
ATM1;2019-01-09;43850
ATM1;2019-01-10;52290
ATM1;2019-01-11;44410
ATM1;2019-01-12;9740
ATM1;2019-01-14;29300
ATM1;2019-01-15;42140
ATM1;2019-01-16;16830
ATM1;2019-01-17;32810
ATM1;2019-01-18;42880
ATM1;2019-01-19;8420
ATM1;2019-01-21;35330
ATM1;2019-01-22;28290
ATM1;2019-01-23;31840
ATM1;2019-01-24;45110
ATM1;2019-01-25;30950
ATM1;2019-01-26;9090
ATM1;2019-01-28;32100
ATM1;2019-01-29;37310
ATM1;2019-01-30;33510
ATM1;2019-01-31;34520
ATM1;2019-02-01;23130
ATM1;2019-02-02;8020
ATM1;2019-02-04;44770
ATM1;2019-02-05;29320
ATM1;2019-02-06;33520
ATM1;2019-02-07;33630
ATM1;2019-02-08;51300
ATM1;2019-02-09;15600
ATM1;2019-02-11;45100
ATM1;2019-02-12;30650
ATM1;2019-02-13;30930
ATM1;2019-02-14;29750
ATM1;2019-02-15;55170
ATM1;2019-02-16;18910
ATM1;2019-02-18;34210
ATM1;2019-02-19;21240
ATM1;2019-02-20;26880
ATM1;2019-02-21;22380
ATM1;2019-02-22;35510
ATM1;2019-02-23;7920
ATM1;2019-02-25;33680
ATM1;2019-02-26;38210
ATM1;2019-02-27;33950
ATM1;2019-02-28;42170
ATM1;2019-03-01;46070
ATM1;2019-03-02;15660
ATM1;2019-03-04;41110
ATM1;2019-03-05;41230
ATM1;2019-03-06;37560
ATM1;2019-03-07;46080
ATM1;2019-03-08;58720
ATM1;2019-03-09;8250
ATM1;2019-03-11;50250
ATM1;2019-03-12;37650
ATM1;2019-03-13;34520
ATM1;2019-03-14;31270
ATM1;2019-03-15;34120
ATM1;2019-03-16;17600
ATM1;2019-03-18;38200
ATM1;2019-03-19;24910
ATM1;2019-03-20;28690
ATM1;2019-03-21;22840
ATM1;2019-03-22;38000
ATM1;2019-03-23;16430
ATM1;2019-03-25;41260
ATM1;2019-03-26;39240
ATM1;2019-03-27;50020
ATM1;2019-03-28;36880
ATM1;2019-03-29;69080
ATM1;2019-03-30;11540
ATM1;2019-04-01;55220
ATM1;2019-04-02;27980
ATM1;2019-04-03;37470
ATM1;2019-04-04;49880
ATM1;2019-04-05;65440
ATM1;2019-04-06;13920
ATM1;2019-04-08;56550
ATM1;2019-04-09;40680
ATM1;2019-04-10;63730
ATM1;2019-04-11;59000
ATM1;2019-04-12;91770
ATM1;2019-04-13;13750
ATM1;2019-04-14;100
ATM1;2019-04-15;61260
ATM1;2019-04-16;49120
ATM1;2019-04-17;78850
ATM1;2019-04-18;50420
ATM1;2019-04-19;30740
ATM1;2019-04-20;1370
ATM1;2019-04-23;41590
ATM1;2019-04-24;41600
ATM1;2019-04-25;43350
ATM1;2019-04-26;54920
ATM1;2019-04-27;13600
ATM1;2019-04-29;63220
ATM1;2019-04-30;65730
ATM1;2019-05-02;36340
ATM1;2019-05-04;14330
ATM1;2019-05-06;61700
ATM1;2019-05-07;58970
ATM1;2019-05-08;51360
ATM1;2019-05-09;46540
ATM1;2019-05-10;43650
ATM1;2019-05-11;14290
ATM1;2019-05-13;68630
ATM1;2019-05-14;29560
ATM1;2019-05-15;53310
ATM1;2019-05-16;33860
ATM1;2019-05-17;45580
ATM1;2019-05-18;14970
ATM1;2019-05-20;42150
ATM1;2019-05-21;40340
ATM1;2019-05-22;30750
ATM1;2019-05-23;44340
ATM1;2019-05-24;55940
ATM1;2019-05-25;17670
ATM1;2019-05-26;20
ATM1;2019-05-27;54360
ATM1;2019-05-28;39400
ATM1;2019-05-29;38430
ATM1;2019-05-30;39830
ATM1;2019-05-31;64230
ATM1;2019-06-01;19280
ATM1;2019-06-03;46120
ATM1;2019-06-04;41810
ATM1;2019-06-05;48040
ATM1;2019-06-06;48980
ATM1;2019-06-07;41610
ATM1;2019-06-08;22230
ATM1;2019-06-10;71670
ATM1;2019-06-11;40050
ATM1;2019-06-12;46010
ATM1;2019-06-13;47860
ATM1;2019-06-14;55230
ATM1;2019-06-15;17050
ATM1;2019-06-17;51520
ATM1;2019-06-18;50660
ATM1;2019-06-19;36900
ATM1;2019-06-21;37990
ATM1;2019-06-22;14060
ATM1;2019-06-24;55070
ATM1;2019-06-25;52690
ATM1;2019-06-26;53590
ATM1;2019-06-27;39950
ATM1;2019-06-28;69350
ATM1;2019-06-29;19610
ATM1;2019-07-01;50360
ATM1;2019-07-02;64180
ATM1;2019-07-03;45970
ATM1;2019-07-04;36840
ATM1;2019-07-05;52750
ATM1;2019-07-06;20120
ATM1;2019-07-08;47480
ATM1;2019-07-09;79750
ATM1;2019-07-10;58930
ATM1;2019-07-11;61050
ATM1;2019-07-12;93060
ATM1;2019-07-13;20910
ATM1;2019-07-15;57330
ATM1;2019-07-16;44000
ATM1;2019-07-17;31580
ATM1;2019-07-18;37230
ATM1;2019-07-19;41650
ATM1;2019-07-20;8030
ATM1;2019-07-22;30260
ATM1;2019-07-23;27390
ATM1;2019-07-24;22090
ATM1;2019-07-25;28470
ATM1;2019-07-26;40670
ATM1;2019-07-27;9500
ATM1;2019-07-29;25540
ATM1;2019-07-30;33470
ATM1;2019-07-31;33460
ATM1;2019-08-01;28550
ATM1;2019-08-02;35670
ATM1;2019-08-03;9330
ATM1;2019-08-05;42880
ATM1;2019-08-06;10570
ATM1;2019-08-07;38610
ATM1;2019-08-08;29470
ATM1;2019-08-09;38690
ATM1;2019-08-10;14060
ATM1;2019-08-12;34180
ATM1;2019-08-13;30550
ATM1;2019-08-14;53550
ATM1;2019-08-16;33010
ATM1;2019-08-17;6430
ATM1;2019-08-19;39630
ATM1;2019-08-20;34230
ATM1;2019-08-21;29050
ATM1;2019-08-22;31180
ATM1;2019-08-23;22090
ATM1;2019-08-24;5480
ATM1;2019-08-26;29660
ATM1;2019-08-27;29230
ATM1;2019-08-28;25960
ATM1;2019-08-29;34210
ATM1;2019-08-30;36500
ATM1;2019-08-31;10490
ATM1;2019-09-02;37950
ATM1;2019-09-03;24200
ATM1;2019-09-04;25200
ATM1;2019-09-05;42330
ATM1;2019-09-06;44400
ATM1;2019-09-07;6660
ATM1;2019-09-09;44500
ATM1;2019-09-10;51720
ATM1;2019-09-11;39920
ATM1;2019-09-12;38080
ATM1;2019-09-13;53910
ATM1;2019-09-14;10890
ATM1;2019-09-16;48320
ATM1;2019-09-17;40770
ATM1;2019-09-18;28010
ATM1;2019-09-19;34080
ATM1;2019-09-20;47060
ATM1;2019-09-21;15860
ATM1;2019-09-23;26390
ATM1;2019-09-24;36320
ATM1;2019-09-25;38240
ATM1;2019-09-26;30580
ATM1;2019-09-27;30720
ATM1;2019-09-28;12320
ATM1;2019-09-30;37750
ATM1;2019-10-01;40570
ATM1;2019-10-02;41130
ATM1;2019-10-03;35420
ATM1;2019-10-04;35430
ATM1;2019-10-05;14180
ATM1;2019-10-07;37610
ATM1;2019-10-08;34710
ATM1;2019-10-09;37350
ATM1;2019-10-10;61960
ATM1;2019-10-11;60020
ATM1;2019-10-12;13120
ATM1;2019-10-14;43540
ATM1;2019-10-15;48110
ATM1;2019-10-16;30110
ATM1;2019-10-17;37770
ATM1;2019-10-18;44370
ATM1;2019-10-19;6240
ATM1;2019-10-21;35850
ATM1;2019-10-22;36300
ATM1;2019-10-23;34000
ATM1;2019-10-24;35460
ATM1;2019-10-25;39290
ATM1;2019-10-26;9780
ATM1;2019-10-28;38000
ATM1;2019-10-29;39100
ATM1;2019-10-30;42020
ATM1;2019-10-31;43870
ATM2;2017-01-01;18200
ATM2;2017-01-02;8790
ATM2;2017-01-03;3620
ATM2;2017-01-04;3820
ATM2;2017-01-05;1590
ATM2;2017-01-06;27440
ATM2;2017-01-07;10770
ATM2;2017-01-08;8650
ATM2;2017-01-09;2370
ATM2;2017-01-10;4280
ATM2;2017-01-11;4750
ATM2;2017-01-12;4150
ATM2;2017-01-13;2290
ATM2;2017-01-14;8710
ATM2;2017-01-15;8730
ATM2;2017-01-16;14090
ATM2;2017-01-17;4130
ATM2;2017-01-18;8660
ATM2;2017-01-19;5390
ATM2;2017-01-20;10150
ATM2;2017-01-21;15770
ATM2;2017-01-22;9940
ATM2;2017-01-23;4190
ATM2;2017-01-24;5040
ATM2;2017-01-25;6680
ATM2;2017-01-26;5460
ATM2;2017-01-27;11230
ATM2;2017-01-28;24700
ATM2;2017-01-29;10940
ATM2;2017-01-30;3720
ATM2;2017-01-31;11750
ATM2;2017-02-01;13010
ATM2;2017-02-02;5640
ATM2;2017-02-03;7520
ATM2;2017-02-04;27710
ATM2;2017-02-05;12350
ATM2;2017-02-06;4150
ATM2;2017-02-07;1620
ATM2;2017-02-08;7970
ATM2;2017-02-09;6170
ATM2;2017-02-10;12370
ATM2;2017-02-11;16410
ATM2;2017-02-12;11720
ATM2;2017-02-13;4790
ATM2;2017-02-14;12930
ATM2;2017-02-15;14490
ATM2;2017-02-16;18680
ATM2;2017-02-17;11560
ATM2;2017-02-18;21800
